var1,var2,r,p,n,stars,r_with_sig
Citizenship,MigrationBG,-0.519,0,83,***,-0.519***
Belonging,Trust,0.667,0,73,***,0.667***
Belonging,Citizenship,0.319,0.006,73,**,0.319**
Citizenship,Trust,0.248,0.028,79,*,0.248*
Discrimination,Trust,-0.242,0.036,75,*,-0.242*
Belonging,Discrimination,-0.191,0.105,73,,-0.191
Citizenship,Discrimination,0.17,0.145,75,,0.17
MigrationBG,Trust,-0.141,0.216,79,,-0.141
Discrimination,MigrationBG,-0.113,0.334,75,,-0.113
Belonging,MigrationBG,-0.055,0.646,73,,-0.055
