"institution_mean","bund_mean","council_mean","police_mean","court_mean","media_mean","immigr_mean","citizens_mean","german_citizen_binary","migration_background","migration_generation","discrim_mean","pb_total","pb_citizenship","pb_belonging","pe01_exp_binary","pe02_exp_binary","pe03_exp_binary","pe04_exp_binary","pe05_exp_binary","pe06_exp_binary","pe07_exp_binary","pe01_exp_degree","pe02_exp_degree","pe03_exp_degree","pe04_exp_degree","pe05_exp_degree","pe06_exp_degree","pe07_exp_degree","age","gender_binary","uni_binary"
2.36363636363636,2,1.5,1.33333333333333,2,5,2,1.75,0,1,NA,1.28571428571429,22,5.5,3.66666666666667,1,0,1,0,1,1,1,2,NA,2,NA,3,2,2,28,0,1
5.2,NA,2,5,7,4.66666666666667,NA,NA,0,1,NA,2.28571428571429,16,4,8,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,30,0,1
5.45454545454545,4.5,4,5.66666666666667,6.66666666666667,5,5.5,6,0,1,NA,1.57142857142857,22,4.5,4.33333333333333,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,2,2,28,1,1
5.72727272727273,5.5,5.5,6.66666666666667,7,5.75,5,5,0,1,NA,1.57142857142857,33,7.5,6,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,2,NA,28,0,1
4.09090909090909,2,2,8,4.66666666666667,2.25,1,7.75,0,1,NA,1.85714285714286,32,9,4.66666666666667,0,1,0,0,0,1,1,NA,3,NA,NA,NA,1,3,41,0,1
3.88888888888889,2.5,4,3,3.66666666666667,4,NA,5.25,1,0,NA,1.85714285714286,30,7.5,5,0,0,1,1,1,0,1,NA,NA,2,2,1,NA,2,35,1,1
7.45454545454545,4.5,7,8.66666666666667,9,8,5.75,8.25,0,1,NA,1.71428571428571,30,7,5.33333333333333,0,0,0,0,1,1,1,NA,NA,NA,NA,3,2,3,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,1
5.78947368421053,4.5,4,4.33333333333333,7.66666666666667,4.33333333333333,6.75,8.5,0,1,NA,1.14285714285714,33,6.5,6.66666666666667,0,1,1,1,1,1,1,NA,2,3,3,3,3,3,29,0,1
NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,1
5.5,5,5.5,7,6,2,7.25,6,0,0,NA,1,32,6.5,6.33333333333333,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,3,NA,0,1
7.84210526315789,7.5,7.5,6.33333333333333,8.66666666666667,9,6,8,1,0,NA,1.57142857142857,42,8,8.66666666666667,1,1,1,1,1,0,1,3,3,2,3,3,NA,3,27,1,1
6.72727272727273,5.5,9,3.33333333333333,8,6.25,7,8,0,1,NA,2.42857142857143,18,3.5,5.5,1,1,1,0,1,1,0,2,3,2,NA,2,2,NA,29,0,1
3.59090909090909,2,3,5.66666666666667,3.66666666666667,3.5,3.25,3.5,0,1,NA,1.42857142857143,31,8.5,4.66666666666667,1,1,1,0,0,1,1,2,2,2,NA,NA,2,2,NA,NA,NA
5.63157894736842,8,8,5.66666666666667,5.66666666666667,1,6.33333333333333,8.5,0,1,NA,1.71428571428571,25,2,7,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,3,30,1,1
5.16666666666667,4,7,1,7.33333333333333,3.5,NA,8,1,1,NA,2.14285714285714,36,9,6,1,0,1,1,1,1,1,2,NA,1,2,2,2,2,26,NA,1
5.04545454545455,3,3.5,5.33333333333333,6.66666666666667,4,5,6.5,0,1,NA,1.6,20,3.5,4.33333333333333,0,0,1,0,1,1,1,NA,NA,3,NA,3,3,3,24,0,1
NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2.27777777777778,1,3,1,2,NA,2,4,0,0,NA,1.33333333333333,13,4.5,2,NA,0,1,NA,0,1,1,NA,NA,2,NA,NA,2,2,26,0,1
5.21428571428571,5,7.5,2,5,6.75,NA,NA,1,1,NA,NA,0,NA,NA,1,0,1,0,1,NA,NA,2,NA,1,NA,2,NA,NA,28,0,1
7.52631578947368,7,7.5,8.33333333333333,7.66666666666667,5.5,8,9,1,0,NA,1.71428571428571,34,6.5,7,0,1,1,0,1,0,1,NA,3,3,NA,2,NA,3,21,0,0
6.31578947368421,6.5,4.5,4.33333333333333,6.66666666666667,7.5,2,8.25,1,0,NA,2.42857142857143,44,9.5,8.33333333333333,1,1,1,0,1,1,1,3,1,1,NA,3,1,3,25,0,1
6.36842105263158,6,6.5,5.33333333333333,6,5.5,5,8.75,1,0,NA,1,28,8,6.66666666666667,0,0,1,0,1,0,1,NA,NA,3,NA,2,NA,3,20,0,0
6.31578947368421,4,5.5,7,6.33333333333333,7,5,7,1,1,NA,2.85714285714286,28,6,5.33333333333333,0,0,1,0,0,0,1,NA,NA,3,NA,NA,NA,3,27,0,0
2.27777777777778,1.5,1.5,1,2.33333333333333,3.5,NA,2.75,1,0,NA,4.57142857142857,16,5.5,1.66666666666667,0,0,1,0,1,NA,1,NA,NA,1,NA,2,NA,1,22,0,0
5.61111111111111,2.5,1,5,7.33333333333333,5.25,NA,9,1,1,NA,2,30,6,6,0,1,1,0,1,0,1,NA,1,2,NA,2,NA,3,27,1,1
6.8,5.5,7,7,8,7,2.5,8.25,1,0,NA,2.85714285714286,45,10,8.33333333333333,0,0,0,0,1,0,1,NA,NA,NA,NA,3,NA,3,28,0,1
6.25,6.5,7,6.66666666666667,5.33333333333333,3,NA,7.75,1,0,NA,2.66666666666667,10,10,NA,1,1,1,0,0,0,1,2,2,2,NA,NA,NA,3,25,0,1
6.73684210526316,4.5,7.5,6.33333333333333,7.66666666666667,7,6,7,1,0,NA,1.71428571428571,36,9,9,0,0,1,0,0,0,1,NA,NA,2,NA,NA,NA,2,21,0,0
5.94444444444444,5,7,5.66666666666667,5,8,NA,4.75,1,0,NA,1.57142857142857,38,9,6.66666666666667,1,0,1,0,1,0,1,2,NA,3,NA,3,NA,2,27,0,1
NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,0
6.15789473684211,3,5.5,6.66666666666667,7,5.5,5,8,1,0,NA,2.14285714285714,25,4.5,5.33333333333333,0,1,1,0,0,0,1,NA,2,3,NA,NA,NA,3,24,1,1
7.1304347826087,8,7.5,5.66666666666667,6,8.75,6.6,7.5,1,1,NA,1.28571428571429,42,8.5,8.33333333333333,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,2,28,0,1
6.73913043478261,6,7,5,6.66666666666667,8.25,6.4,7.25,1,1,NA,1.14285714285714,39,6,9,1,1,1,0,1,1,0,2,2,2,NA,3,3,NA,55,1,1
5,4,4.5,3,5,6.5,1,6.75,1,0,NA,1,19,7,6,0,0,1,0,1,0,1,NA,NA,2,NA,3,NA,3,26,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5.60869565217391,6,5,6.66666666666667,6,4,5.8,6,1,0,NA,1.85714285714286,33,6.5,6.66666666666667,0,1,1,0,0,1,1,NA,2,2,NA,NA,2,2,54,1,1
5.5,4.5,7.5,4,5.33333333333333,7.5,1,6.5,1,0,NA,2.14285714285714,30,8.5,6.5,1,1,1,1,1,1,1,2,3,2,2,3,1,2,31,0,1
5.15789473684211,6.5,3,3.33333333333333,2.66666666666667,6.5,5,7.5,1,1,NA,2.85714285714286,41,10,7,1,1,1,0,1,0,1,2,1,2,NA,2,NA,1,45,1,1
5.38888888888889,6.5,4,5,3,3,NA,10,1,0,NA,2.71428571428571,32,10,7.33333333333333,1,1,1,1,1,0,1,2,2,3,1,1,NA,3,69,0,1
5.83333333333333,10,3.5,8,2,4,NA,8,1,0,NA,2.28571428571429,33,7,6.33333333333333,1,0,1,1,1,0,1,3,NA,3,2,2,NA,2,66,1,1
3.52173913043478,1,1,1,5,7.25,1.6,5.5,1,1,NA,1.71428571428571,28,7,4.66666666666667,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,33,1,1
7.94736842105263,8,8,9.33333333333333,8.66666666666667,6,8,8.25,1,0,NA,1.28571428571429,43,7.5,9.33333333333333,0,0,1,0,1,0,1,NA,NA,3,NA,2,NA,3,30,1,1
6.22222222222222,4.5,4,6,6.33333333333333,6.25,NA,8.25,1,0,NA,1.42857142857143,33,7.5,9,0,0,1,0,1,0,1,NA,NA,3,NA,3,NA,3,23,0,0
6.94736842105263,6,7,7,7,7,8,7,1,0,NA,2,31,7,5.66666666666667,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,38,1,1
7.75,7.5,8,8,8.33333333333333,8.25,3.5,8.75,1,1,NA,1.14285714285714,39,7,8.33333333333333,1,0,1,0,1,0,1,2,NA,3,NA,3,NA,3,23,0,1
7.35294117647059,7,4,8,9.33333333333333,5.75,NA,9,1,0,NA,1.85714285714286,37,9,9.33333333333333,0,0,0,0,1,0,1,NA,NA,NA,NA,3,NA,3,19,1,0
6.66666666666667,6,7.5,5.66666666666667,6,8.25,NA,6.25,1,0,NA,1.14285714285714,20,NA,6.66666666666667,0,0,0,1,1,0,1,NA,NA,NA,2,3,NA,2,29,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.42105263157895,9.5,9,6,9.66666666666667,8.75,8,8.25,1,0,NA,2,41,6,9.66666666666667,1,1,1,0,1,0,1,3,3,3,NA,3,NA,2,25,1,1
7.94736842105263,6.5,6,7.66666666666667,7,8.5,8,10,1,0,NA,1.14285714285714,29,8,7,0,0,1,0,1,0,1,NA,NA,3,NA,3,NA,3,25,1,1
7.44444444444444,7,8,7,6.66666666666667,7.5,NA,8.25,1,0,NA,1.42857142857143,23,NA,7.66666666666667,0,0,1,0,1,0,1,NA,NA,3,NA,3,NA,3,25,0,0
5.6,5,5,6,5,6.75,5,5.5,1,1,NA,2.28571428571429,29,6,5.66666666666667,0,0,1,1,0,0,1,NA,NA,3,2,NA,NA,3,19,0,0
6.83333333333333,7,5,4.33333333333333,9,5.75,NA,9,0,1,NA,1.14285714285714,48,9,10,0,0,0,0,1,0,1,NA,NA,NA,NA,2,NA,3,33,1,0
8.5,8,8,9,10,7.5,NA,8.5,1,0,NA,1.6,39,5.5,9.33333333333333,0,0,1,1,1,0,1,NA,NA,3,3,3,NA,3,58,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA
5.68421052631579,3,1.5,8.66666666666667,7,3.75,4,8.25,1,1,NA,1.42857142857143,33,9,8,1,1,1,0,0,0,1,2,1,3,NA,NA,NA,3,61,1,1
7.72222222222222,7.5,7,9,8.33333333333333,5.5,NA,9,1,1,NA,1.28571428571429,45,9,9,0,1,1,1,0,0,1,NA,2,3,3,NA,NA,3,59,1,1
8.77777777777778,9,9,8.66666666666667,8.33333333333333,9,NA,8.75,1,0,NA,1.85714285714286,39,6.5,8.66666666666667,0,1,1,0,1,0,1,NA,3,3,NA,3,NA,3,59,0,1
